subject,task,run,r_DMN,r_AUD,r_VIS,r_CEN,r_SAL,r_DANT,r_SOM,r_CEN_minus_DMN,r_decoder_personal
sub-dmnelf001,rest,01,-0.058,0.091,0.0598,0.0915,-0.0783,-0.0815,-0.0945,0.0952,nan
sub-dmnelf001,rest,02,0.0056,-0.0497,-0.0463,-0.0513,0.0378,0.0531,0.0428,-0.0444,nan
sub-dmnelf001,shortrest,01,0.0252,0.1324,0.1459,0.1601,-0.0134,-0.1417,-0.0964,0.1167,nan
sub-dmnelf001,feedback,01,-0.0304,-0.0057,-0.0709,-0.0415,-0.0206,0.0313,-0.0077,0.0018,-0.2941
sub-dmnelf001,feedback,02,-0.002,-0.2363,-0.1888,-0.2817,0.1151,0.2897,0.1426,-0.1677,-0.2941
sub-dmnelf001,feedback,03,0.0992,0.0148,0.0388,0.023,0.0214,-0.0283,0.0063,0.0008,-0.2941
sub-dmnelf001,feedback,04,-0.0507,0.2867,0.0418,0.1539,-0.1431,-0.1786,-0.1854,0.2147,-0.2941
sub-dmnelf004,rest,01,-0.0374,-0.1926,-0.1734,-0.1886,0.1634,0.1804,0.1973,-0.198,nan
sub-dmnelf004,rest,02,-0.0054,-0.072,-0.1163,-0.094,0.002,0.082,0.0616,-0.0696,nan
sub-dmnelf004,shortrest,01,0.1916,-0.2064,0.0818,-0.1946,0.1981,0.1696,0.2043,-0.2088,nan
sub-dmnelf004,feedback,01,-0.1296,0.0987,-0.0829,0.0639,-0.1379,-0.0558,-0.1132,0.1051,-0.277
sub-dmnelf004,feedback,02,0.103,-0.3278,-0.1865,-0.3147,0.2383,0.2839,0.3034,-0.3133,-0.277
sub-dmnelf004,feedback,03,-0.1445,0.123,-0.0044,0.0888,-0.1699,-0.0769,-0.1519,0.142,-0.277
sub-dmnelf004,feedback,04,0.2597,-0.0828,0.2261,0.0635,0.2404,-0.1293,0.3247,-0.2779,-0.277
sub-dmnelf005,rest,01,-0.1071,0.0697,-0.0369,0.0068,-0.1024,-0.0695,-0.0731,0.0459,nan
sub-dmnelf005,rest,02,-0.0097,0.1563,0.0608,0.0941,-0.1878,-0.1431,-0.1771,0.1403,nan
sub-dmnelf005,shortrest,01,0.1763,0.0039,0.0856,0.0402,0.0531,-0.0195,0.0199,-0.0051,nan
sub-dmnelf005,feedback,01,0.1053,-0.2086,-0.2039,-0.233,0.0607,0.1646,0.2152,-0.2287,-0.2215
sub-dmnelf005,feedback,02,-0.1726,0.0532,-0.0204,0.0411,-0.0364,0.0293,-0.1346,0.104,-0.2215
sub-dmnelf005,feedback,03,-0.0184,0.2842,0.1665,0.2316,-0.254,-0.2799,-0.2413,0.2506,-0.2215
sub-dmnelf005,feedback,04,-0.109,-0.1556,-0.14,-0.1441,-0.067,0.1337,0.0578,-0.1224,-0.2215
sub-dmnelf006,rest,01,0.1163,-0.0725,-0.0013,-0.054,0.1091,0.0335,0.1082,-0.101,nan
sub-dmnelf006,rest,02,-0.0377,-0.0621,-0.0865,-0.0693,0.0402,0.076,0.0417,-0.0465,nan
sub-dmnelf006,shortrest,01,-0.0746,-0.0479,-0.1442,-0.1085,-0.0342,0.1057,-0.0017,-0.0214,nan
sub-dmnelf006,feedback,01,-0.1026,0.0907,-0.0883,0.0809,-0.0979,-0.0058,-0.0982,0.0981,-0.5046
sub-dmnelf006,feedback,02,0.0157,-0.0184,-0.0048,-0.0249,0.0058,0.0061,0.0195,-0.0228,-0.5046
sub-dmnelf006,feedback,03,-0.0253,0.0065,-0.0141,0.0067,-0.0043,0.0188,-0.0207,0.0234,-0.5046
sub-dmnelf006,feedback,04,-0.1284,-0.1417,-0.1438,-0.1349,0.1041,0.1577,-0.0235,-0.0154,-0.5046
sub-dmnelf007,rest,01,-0.1396,-0.064,-0.1363,-0.1039,-0.0806,0.1086,-0.0177,-0.0128,nan
sub-dmnelf007,rest,02,-0.0586,-0.0342,-0.0567,-0.0476,-0.0185,0.0401,0.0222,-0.0293,nan
sub-dmnelf007,shortrest,01,-0.0809,0.1425,0.149,0.1595,-0.0814,-0.1267,-0.1485,0.1518,nan
sub-dmnelf007,feedback,01,-0.0634,-0.1219,-0.1195,-0.1292,0.0324,0.1235,0.0958,-0.11,-0.1969
sub-dmnelf007,feedback,02,-0.007,0.0029,-0.0045,-0.0057,-0.024,-0.006,0.0011,-0.004,-0.1969
sub-dmnelf007,feedback,03,-0.0427,-0.0932,-0.0816,-0.0889,0.0941,0.0891,0.0916,-0.0922,-0.1969
sub-dmnelf007,feedback,04,-0.1153,0.0038,-0.072,-0.0148,-0.0417,0.0385,-0.0504,0.0394,-0.1969
sub-dmnelf008,rest,01,-0.1062,0.0967,0.0356,0.0795,-0.1303,-0.0747,-0.1053,0.099,nan
sub-dmnelf008,rest,02,-0.024,0.0162,0.0119,0.0302,0.0321,0.0168,-0.0347,0.0394,nan
sub-dmnelf008,shortrest,01,0.1235,0.1337,0.2515,0.1768,-0.0344,-0.1759,-0.0894,0.1076,nan
sub-dmnelf008,feedback,01,0.0518,-0.1785,-0.1416,-0.1959,0.1193,0.2046,0.1439,-0.1545,-0.0223
sub-dmnelf008,feedback,02,-0.2645,0.2721,0.061,0.2753,-0.202,-0.1505,-0.2844,0.2863,-0.0223
sub-dmnelf008,feedback,03,-0.0051,-0.0283,-0.0791,-0.0453,-0.0088,0.0441,0.0208,-0.0241,-0.0223
sub-dmnelf008,feedback,04,0.152,-0.1536,-0.133,-0.2243,0.0701,0.089,0.1928,-0.2097,-0.0223
sub-dmnelf009,rest,01,0.0453,-0.1028,-0.0739,-0.0958,0.0991,0.0958,0.1021,-0.1024,nan
sub-dmnelf009,rest,02,-0.0474,-0.0244,-0.0584,-0.0471,-0.0291,0.027,0.0175,-0.0276,nan
sub-dmnelf009,shortrest,01,-0.1034,0.0807,-0.0339,0.0586,-0.1089,-0.0553,-0.09,0.0851,nan
sub-dmnelf009,feedback,01,-0.0568,-0.2293,-0.2714,-0.2825,0.0852,0.2495,0.1941,-0.1945,-0.4149
sub-dmnelf009,feedback,02,0.0734,-0.1127,-0.0839,-0.1204,0.09,0.1276,0.1003,-0.1033,-0.4149
sub-dmnelf009,feedback,03,-0.216,0.2053,0.0274,0.1973,-0.1921,-0.1499,-0.2159,0.2155,-0.4149
sub-dmnelf009,feedback,04,-0.0804,0.0661,-0.0105,0.0386,-0.104,-0.0353,-0.0789,0.0752,-0.4149
sub-dmnelf010,rest,01,-0.076,0.0126,-0.045,-0.0061,-0.05,0.016,-0.041,0.0337,nan
sub-dmnelf010,rest,02,0.097,-0.2147,-0.109,-0.2267,0.1342,0.1596,0.1888,-0.1993,nan
sub-dmnelf010,shortrest,01,0.1117,-0.1953,-0.1882,-0.2211,-0.1073,0.1273,0.2258,-0.2314,nan
sub-dmnelf010,feedback,01,-0.0737,0.0923,-0.0217,0.0594,-0.0921,-0.0628,-0.0933,0.0959,-0.4314
sub-dmnelf010,feedback,02,-0.2248,0.2093,0.0427,0.2146,-0.1742,-0.0635,-0.2323,0.2339,-0.4314
sub-dmnelf010,feedback,03,-0.0314,-0.0248,-0.0396,-0.0384,-0.0189,0.0207,0.0282,-0.0346,-0.4314
sub-dmnelf010,feedback,04,0.1634,0.116,0.1389,0.1254,-0.0433,-0.1287,-0.0915,0.1004,-0.4314
sub-dmnelf011,rest,01,0.0852,-0.1189,-0.0386,-0.1166,0.0923,0.0954,0.1175,-0.1215,nan
sub-dmnelf011,rest,02,0.0177,0.0088,0.0298,0.0147,0.0009,-0.0203,-0.0001,0.0014,nan
sub-dmnelf011,shortrest,01,-0.18,0.0608,-0.1022,-0.0163,-0.2304,0.0169,-0.1482,0.1071,nan
sub-dmnelf011,feedback,01,-0.0075,0.1228,0.1788,0.1395,-0.0873,-0.1403,-0.1056,0.1118,-0.135
sub-dmnelf011,feedback,02,-0.1393,-0.1943,-0.1865,-0.1945,0.0552,0.2065,0.0785,-0.127,-0.135
sub-dmnelf011,feedback,03,0.385,0.0086,0.3829,0.3664,0.4085,-0.3485,0.3724,-0.3458,-0.135
sub-dmnelf011,feedback,04,0.301,-0.3772,-0.2985,-0.3766,0.1432,0.3022,0.3981,-0.3992,-0.135
sub-dmnelf1001,rest,01,0.0857,-0.0721,0.049,-0.0558,0.0825,0.0464,0.0799,-0.079,nan
sub-dmnelf1001,rest,02,-0.0523,0.0487,0.0052,0.036,-0.0646,-0.0243,-0.0678,0.0648,nan
sub-dmnelf1001,shortrest,01,-0.0825,0.0526,-0.0057,0.0538,-0.0501,-0.033,-0.0653,0.0649,nan
sub-dmnelf1001,feedback,01,0.1461,-0.3726,-0.367,-0.3599,0.3967,0.3877,0.355,-0.3519,-0.3922
sub-dmnelf1001,feedback,02,0.0802,-0.1648,-0.2662,-0.1811,0.1399,0.2033,0.1385,-0.143,-0.3922
sub-dmnelf1001,feedback,03,0.0904,0.2503,0.2565,0.2474,-0.2553,-0.2619,-0.2356,0.237,-0.3922
sub-dmnelf1001,feedback,04,-0.2968,0.2126,-0.0241,0.166,-0.271,-0.1664,-0.2384,0.2287,-0.3922
sub-dmnelf1002,rest,01,0.0864,0.0311,0.0787,0.0477,0.0351,-0.0797,0.0598,-0.0509,nan
sub-dmnelf1002,shortrest,01,0.0989,-0.217,-0.2118,-0.2166,0.2177,0.2138,0.2195,-0.2196,nan
sub-dmnelf1002,feedback,01,-0.0057,0.236,0.0625,0.1313,-0.0977,-0.1026,-0.1927,0.3225,-0.3936
sub-dmnelf1002,feedback,02,0.1122,0.1436,0.1392,0.1443,-0.0856,-0.1403,-0.1272,0.1357,-0.3936
sub-dmnelf1002,feedback,03,-0.2299,-0.0982,-0.2032,-0.1662,-0.2321,0.1785,-0.193,0.07,-0.3936
sub-dmnelf1002,feedback,04,0.0791,-0.0772,-0.0034,-0.0741,0.0711,0.0611,0.086,-0.0846,-0.3936
sub-dmnelf1003,rest,01,0.0026,-0.0306,-0.0026,-0.0118,-0.0003,0.0035,0.0128,-0.022,nan
sub-dmnelf1003,rest,02,0.0298,-0.0717,-0.0399,-0.0476,0.0666,0.0803,0.0619,-0.0606,nan
sub-dmnelf1003,shortrest,01,-0.1835,-0.1149,-0.2157,-0.2761,-0.1904,0.2192,-0.1215,0.0876,nan
sub-dmnelf1003,feedback,01,0.2275,-0.0186,0.2164,0.0539,0.2102,-0.0891,0.0774,-0.051,-0.0528
sub-dmnelf1003,feedback,02,-0.1833,0.1922,-0.01,0.1815,-0.1946,-0.187,-0.1892,0.1898,-0.0528
sub-dmnelf1003,feedback,03,0.1134,0.1098,0.1244,0.1154,-0.079,-0.1179,-0.0983,0.1005,-0.0528
