subject,task,run,r_simple,r_microPDA_personal,r_microCEN_personal,r_microDMN_personal,r_microPDA_difumo,r_microCEN_difumo,r_microDMN_difumo
sub-dmnelf001,feedback,01,0.0018,0.0156,-0.1123,0.2682,0.1097,0.289,0.4238
sub-dmnelf001,feedback,02,-0.1677,-0.0598,-0.1343,-0.0774,0.0798,0.3165,-0.1824
sub-dmnelf001,feedback,03,0.0008,0.0076,0.0359,0.1665,-0.0575,-0.0028,-0.0732
sub-dmnelf001,feedback,04,0.2147,0.0816,0.1018,-0.0102,0.1075,-0.0525,-0.0558
sub-dmnelf004,feedback,01,0.1051,-0.0575,0.0774,-0.0098,-0.0759,-0.0165,-0.0727
sub-dmnelf004,feedback,02,-0.3133,0.0359,-0.1475,0.1519,0.1213,0.229,0.053
sub-dmnelf004,feedback,03,0.142,-0.0991,-0.0785,-0.0845,-0.0,0.049,-0.0616
sub-dmnelf004,feedback,04,-0.2779,-0.2221,-0.184,-0.142,-0.04,-0.036,-0.0376
sub-dmnelf005,feedback,01,-0.2287,-0.1655,-0.1196,-0.3424,0.0493,-0.0788,0.145
sub-dmnelf005,feedback,02,0.104,-0.0929,-0.0602,-0.1306,-0.114,0.1637,0.4203
sub-dmnelf005,feedback,03,0.2506,-0.2742,-0.0991,-0.4194,-0.2224,-0.2124,-0.2454
sub-dmnelf005,feedback,04,-0.1224,0.1148,-0.2886,-0.1436,0.0661,-0.0289,-0.0985
sub-dmnelf006,feedback,01,0.0981,-0.0761,-0.1077,-0.1533,-0.1216,0.1867,0.1268
sub-dmnelf006,feedback,02,-0.0228,0.0573,-0.1578,-0.0844,0.105,0.006,0.1086
sub-dmnelf006,feedback,03,0.0234,0.0495,-0.443,0.0354,-0.0552,-0.0134,-0.025
sub-dmnelf006,feedback,04,-0.0154,-0.1471,-0.3162,-0.0112,0.1611,0.1572,0.16
sub-dmnelf007,feedback,01,-0.11,0.1916,0.0179,-0.1143,0.1285,0.1034,0.0376
sub-dmnelf007,feedback,02,-0.004,0.0495,0.2379,0.2344,0.0665,0.0635,0.1834
sub-dmnelf007,feedback,03,-0.0922,0.1008,0.1195,0.1072,0.1131,0.0603,-0.0398
sub-dmnelf007,feedback,04,0.0394,0.0617,-0.0488,0.0107,0.0674,0.013,-0.0576
sub-dmnelf008,feedback,01,-0.1545,0.039,-0.0739,0.1476,0.1582,-0.0457,-0.2318
sub-dmnelf008,feedback,02,0.2863,-0.238,0.0971,-0.2694,-0.2225,0.152,0.114
sub-dmnelf008,feedback,03,-0.0241,0.0512,0.14,0.2109,0.0176,0.1825,-0.3194
sub-dmnelf008,feedback,04,-0.2097,0.2501,0.1101,0.1222,0.1459,0.2684,-0.2623
sub-dmnelf010,feedback,01,0.0959,-0.0254,-0.2183,-0.1123,-0.012,0.4463,0.3664
sub-dmnelf010,feedback,02,0.2339,-0.2178,0.1255,-0.063,0.2232,0.3176,0.3745
sub-dmnelf010,feedback,03,-0.0346,-0.0187,0.061,-0.082,-0.0522,-0.2171,-0.0505
sub-dmnelf010,feedback,04,0.1004,-0.1551,0.0671,-0.2962,-0.151,0.1227,0.1271
