subject,run,step04_r,r_ridge,sign_acc_ridge,auc_ridge,r_elasticnet,sign_acc_elasticnet,auc_elasticnet
sub-dmnelf001,01,-0.2941,0.0659,0.456,0.5379,nan,0.456,0.5
sub-dmnelf001,02,-0.2941,0.0398,0.6,0.5075,nan,0.6,0.5
sub-dmnelf001,03,-0.2941,0.0163,0.656,0.5315,nan,0.656,0.5
sub-dmnelf001,04,-0.2941,-0.0079,0.696,0.5,nan,0.696,0.5
sub-dmnelf004,01,-0.277,0.0437,0.848,0.4921,0.0124,0.848,0.5134
sub-dmnelf004,02,-0.277,-0.0329,0.8,0.512,-0.0341,0.8,0.506
sub-dmnelf004,03,-0.277,0.0289,0.76,0.5288,0.0198,0.76,0.5116
sub-dmnelf004,04,-0.277,-0.0246,0.88,0.5182,-0.0117,0.88,0.4855
sub-dmnelf005,01,-0.2215,0.0263,0.488,0.4997,nan,0.48,0.5
sub-dmnelf005,02,-0.2215,0.0552,0.6,0.5097,nan,0.576,0.5
sub-dmnelf005,03,-0.2215,0.04,0.272,0.5666,nan,0.272,0.5
sub-dmnelf005,04,-0.2215,0.0364,0.472,0.4635,nan,0.464,0.5
sub-dmnelf006,01,-0.5046,0.0766,0.296,0.5163,nan,0.296,0.5
sub-dmnelf006,02,-0.5046,0.0193,0.432,0.5233,nan,0.424,0.5
sub-dmnelf006,03,-0.5046,0.071,0.184,0.5819,nan,0.16,0.5
sub-dmnelf006,04,-0.5046,0.0202,0.488,0.4926,nan,0.472,0.5
sub-dmnelf007,01,-0.1969,0.1201,0.424,0.5726,nan,0.424,0.5
sub-dmnelf007,02,-0.1969,0.0185,0.4,0.4968,nan,0.4,0.5
sub-dmnelf007,03,-0.1969,-0.029,0.384,0.4916,nan,0.384,0.5
sub-dmnelf007,04,-0.1969,-0.0492,0.568,0.5083,nan,0.568,0.5
sub-dmnelf008,01,-0.0223,0.0761,0.672,0.5706,0.0729,0.672,0.561
sub-dmnelf008,02,-0.0223,-0.1219,0.448,0.4099,-0.1531,0.448,0.4063
sub-dmnelf008,03,-0.0223,0.0376,0.472,0.5213,0.0245,0.48,0.4928
sub-dmnelf008,04,-0.0223,-0.0096,0.592,0.5286,-0.0377,0.592,0.5146
sub-dmnelf009,01,-0.4149,0.2961,0.392,0.6122,nan,0.256,0.5
sub-dmnelf009,02,-0.4149,0.0061,0.592,0.4809,nan,0.624,0.5
sub-dmnelf009,03,-0.4149,0.0901,0.216,0.5605,nan,0.176,0.5
sub-dmnelf009,04,-0.4149,0.0602,0.264,0.5305,nan,0.232,0.5
sub-dmnelf010,01,-0.4314,0.029,0.56,0.5092,nan,0.576,0.5
sub-dmnelf010,02,-0.4314,0.0679,0.616,0.5011,nan,0.608,0.5
sub-dmnelf010,03,-0.4314,-0.0556,0.296,0.4876,nan,0.256,0.5
sub-dmnelf010,04,-0.4314,0.1613,0.472,0.5439,nan,0.472,0.5
sub-dmnelf011,01,-0.135,0.025,0.512,0.4659,nan,0.512,0.5
sub-dmnelf011,02,-0.135,0.08,0.376,0.5191,nan,0.376,0.5
sub-dmnelf011,03,-0.135,0.0693,0.528,0.5526,nan,0.528,0.5
sub-dmnelf011,04,-0.135,-0.0227,0.496,0.4739,nan,0.496,0.5
sub-dmnelf1001,01,-0.3922,-0.0225,0.488,0.4452,nan,0.488,0.5
sub-dmnelf1001,02,-0.3922,-0.0779,0.256,0.4802,nan,0.256,0.5
sub-dmnelf1001,03,-0.3922,-0.065,0.36,0.5289,nan,0.36,0.5
sub-dmnelf1001,04,-0.3922,0.0629,0.248,0.5487,nan,0.248,0.5
sub-dmnelf1002,01,-0.3936,-0.019,0.84,0.4862,nan,0.84,0.5
sub-dmnelf1002,02,-0.3936,0.1164,0.552,0.5471,nan,0.552,0.5
sub-dmnelf1002,03,-0.3936,-0.0081,0.568,0.4799,nan,0.568,0.5
sub-dmnelf1002,04,-0.3936,0.0036,0.44,0.5044,nan,0.44,0.5
sub-dmnelf1003,01,-0.0528,-0.0366,0.696,0.4398,-0.0562,0.696,0.4873
sub-dmnelf1003,02,-0.0528,-0.0809,0.7857,0.4413,-0.0686,0.7857,0.4803
sub-dmnelf1003,03,-0.0528,0.2178,0.6889,0.5538,0.154,0.6815,0.5493
